trottoaren;Sidewalk;Tittade ner i trottoaren
förbipasserande;passby
bepansrade;armed
raska steg; quick steps
Ovänta; Unexpected
tidningsredaktionen; newspaper editorial office
fyrsiffriga; four digits
betraktade; Observed; betraktade den kala lönnarna
kala; bare;
målsägande; plaintiff
bekräfta; confirm
övertygat; convinced
avslöja; discover
granskningen; Inspection
krånglig; complicated
försiktigt; carefully
förtvivlad; desperate
återvänder; go back to
hållhaken; grip
uteslutet; ruled out
utredning; investigation
förstöra; spoil; ruin
Förändra; change
avskydde; despised
uppfattade; perceived
tävla; compete
näringsliv; business life




