bekräfta;Confirm
Upprepa;Repeat
Vara;Our
Ökat;Increased
Då;Then
Ta reda på;Figure out
Liknande;Similar
Artigt;Polite
En promenad;A walk
Vare tvungen;Must
Om du inte;Unless you
Vanliga;Regular
Eftersom;Because
Överraskad;Surprised
Betyg;Grades
Jag brukar;I usually
Pyntat;Decorate
Faktiskt;Actually
Julklappar;Christmas gifts
Kom hit;Come here
Bli;Become
Erfaren;Experienced
Jag skulle vara; I would be
Räcker;Enough
Sorter;Varietis
Förklara;Explain;
Någon gång ;Some time
Ankomma;Arrive
Avgång;Departure;
Föredra;Prefer;
På någon sett;Somehow
Ändrad;Changed;
Då; then
Faktiskt;Actually
åtgärder;measures
aktier;shares
