Ramla;fall;jag har ramlat på min cykel några gånger
Röra;Touch;Rör ej vid dörren
Kvar;Left;Det finns sex personer kvar
Täcke;Cover;jag har en kudde och ett täcke
Erkänna;Admit;Även om han aldrig kommer att erkänna det
Satsa;Invest;Regeringen vill satsa miljarder på landsbygden
Sannolik;Likely;
Bassängen; Pool;Det finns en underbar naturlig bassäng dar
Förväntansful; Vongodur, Han var Förväntansfull infor fortsättningen
Förvåna; surpice;  Det förvånade honum
Förförsiska; Girnilegur; Lugkten af de Förförsiska burgarna
Knäppte på; turned on; Knäppte; Han knäppte på lyset
Lita; rely; Lita på mig
Misstänksam; Suspicious

